time,pair_id,phase,cmd_px,cmd_py,cmd_pz,ndi_px,ndi_py,ndi_pz,ndi_ox,ndi_oy,ndi_oz,ndi_ow,fx,fy,fz,joint_0,joint_1,joint_2,joint_3,joint_4
1773939364.999399,0,wp2,-0.00825,-0.006,0.02,58.23733901977539,-29.15262794494629,-207.2015838623047,-0.3433501720428467,0.6043038964271545,0.0,0.7189767360687256,0.742404,-7.545650999999999,4.803566,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.0248003,0,wp2,-0.00825,-0.006,0.02,58.00925827026367,-28.75800132751465,-206.56741333007812,-0.3436654210090637,0.6042413115501404,0.0,0.7188786864280701,0.735293,-7.542071999999999,4.8036509999999994,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.0499237,0,wp2,-0.00825,-0.006,0.02,57.85251998901367,-28.518543243408203,-206.3494873046875,-0.3439091742038727,0.6042636036872864,0.0,0.7187433242797852,0.736197,-7.545979,4.806338,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.0748007,0,wp2,-0.00825,-0.006,0.02,57.897830963134766,-28.59620475769043,-206.69741821289062,-0.34412628412246704,0.6042420864105225,0.0,0.7186574935913086,0.7323879999999999,-7.5421439999999995,4.8027169999999995,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.0995598,0,wp2,-0.00825,-0.006,0.02,57.63399887084961,-28.026012420654297,-206.12841796875,-0.34426894783973694,0.6043212413787842,0.0,0.7185226678848267,0.7384259999999999,-7.541582999999999,4.802814,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.1245222,0,wp2,-0.00825,-0.006,0.02,57.767845153808594,-28.196735382080078,-206.36746215820312,-0.34399232268333435,0.6042702794075012,0.0,0.7186979055404663,0.736567,-7.542812,4.805391,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.149533,0,wp2,-0.00825,-0.006,0.02,57.79849624633789,-28.378276824951172,-206.6354522705078,-0.34401506185531616,0.6043739318847656,0.0,0.7185998558998108,0.737885,-7.5453079999999995,4.801737,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.1748214,0,wp2,-0.00825,-0.006,0.02,57.70353317260742,-28.2662296295166,-206.50132751464844,-0.3440466821193695,0.6044874787330627,0.0,0.7184891104698181,0.73522,-7.548273999999999,4.803580999999999,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.1993804,0,wp2,-0.00825,-0.006,0.02,57.74923324584961,-28.402585983276367,-206.62567138671875,-0.3439330756664276,0.6044603586196899,0.0,0.718566358089447,0.7406159999999999,-7.548324,4.79827,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.224528,0,wp2,-0.00825,-0.006,0.02,57.79198455810547,-28.43187713623047,-206.9669647216797,-0.34377962350845337,0.6045846343040466,0.0,0.7185353636741638,0.739337,-7.549195,4.798217,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.2496421,0,wp2,-0.00825,-0.006,0.02,57.97452926635742,-28.8011531829834,-207.58285522460938,-0.34355801343917847,0.6046519875526428,0.0,0.7185846567153931,0.735161,-7.546866,4.8026789999999995,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
1773939365.2742896,0,wp2,-0.00825,-0.006,0.02,58.25550842285156,-29.225175857543945,-208.51133728027344,-0.3431647717952728,0.60475093126297,0.0,0.7186893224716187,0.737783,-7.548436,4.798227,0.0,5.341185266800123,0.008893425952882984,0.008892426108855472,0.0
